sesion,fecha_inicio,tiempo_seg,tiempo_mmss,emocion_grupal,estudiantes_detectados,n_enojado,n_miedo,n_feliz,n_neutral,n_triste,n_sorpresa
Prueba3,2026-05-19 20:29:54,72.86,01:12,Neutral,5,1,1,1,2,0,0
Prueba3,2026-05-19 20:29:54,73.36,01:13,Neutral,4,0,1,1,2,0,0
Prueba3,2026-05-19 20:29:54,73.97,01:13,Neutral,6,1,1,1,3,0,0
Prueba3,2026-05-19 20:29:54,74.76,01:14,Neutral,4,0,1,1,2,0,0
Prueba3,2026-05-19 20:29:54,75.36,01:15,Neutral,4,0,1,1,2,0,0
Prueba3,2026-05-19 20:29:54,75.93,01:15,Neutral,4,0,1,1,2,0,0
Prueba3,2026-05-19 20:29:54,76.49,01:16,Miedo,5,0,2,1,2,0,0
Prueba3,2026-05-19 20:29:54,77.03,01:17,Triste,5,1,0,1,1,2,0
Prueba3,2026-05-19 20:29:54,77.55,01:17,Miedo,4,0,2,1,1,0,0
Prueba3,2026-05-19 20:29:54,78.11,01:18,Neutral,5,0,1,1,3,0,0
Prueba3,2026-05-19 20:29:54,78.65,01:18,Miedo,5,0,2,1,2,0,0
Prueba3,2026-05-19 20:29:54,79.14,01:19,Feliz,3,0,1,1,1,0,0
Prueba3,2026-05-19 20:29:54,79.66,01:19,Miedo,4,0,2,1,1,0,0
Prueba3,2026-05-19 20:29:54,80.17,01:20,Neutral,4,0,1,1,2,0,0
Prueba3,2026-05-19 20:29:54,80.75,01:20,Miedo,5,0,3,1,1,0,0
Prueba3,2026-05-19 20:29:54,81.27,01:21,Neutral,4,0,1,1,2,0,0
Prueba3,2026-05-19 20:29:54,81.78,01:21,Neutral,4,0,1,1,2,0,0
Prueba3,2026-05-19 20:29:54,82.32,01:22,Miedo,4,0,2,1,1,0,0
Prueba3,2026-05-19 20:29:54,82.96,01:22,Miedo,5,1,2,0,2,0,0
Prueba3,2026-05-19 20:29:54,83.5,01:23,Feliz,4,0,1,1,1,1,0
Prueba3,2026-05-19 20:29:54,84.0,01:24,Neutral,5,0,1,1,3,0,0
Prueba3,2026-05-19 20:29:54,84.41,01:24,Miedo,2,0,2,0,0,0,0
Prueba3,2026-05-19 20:29:54,84.78,01:24,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,85.14,01:25,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,85.49,01:25,Miedo,1,0,1,0,0,0,0
