segundo,emocion,confianza
1306.0,No_Detectado,0.0
1308.0,No_Detectado,0.0
1310.0,No_Detectado,0.0
1312.0,No_Detectado,0.0
1314.0,No_Detectado,0.0
1316.0,No_Detectado,0.0
1318.0,Happy,0.33062639832496643
1320.0,No_Detectado,0.0
1322.0,Sad,0.36024269461631775
1324.0,No_Detectado,0.0
1326.0,Sad,0.3264922499656677
1328.0,No_Detectado,0.0
1330.0,No_Detectado,0.0
1332.0,No_Detectado,0.0
1334.0,No_Detectado,0.0
1336.0,No_Detectado,0.0
1338.0,No_Detectado,0.0
1340.0,Sad,0.24335964024066925
1342.0,No_Detectado,0.0
1344.0,No_Detectado,0.0
1346.0,No_Detectado,0.0
1348.0,No_Detectado,0.0
1350.0,No_Detectado,0.0
1352.0,No_Detectado,0.0
1354.0,No_Detectado,0.0
1356.0,No_Detectado,0.0
1358.0,No_Detectado,0.0
1360.0,No_Detectado,0.0
1362.0,No_Detectado,0.0
1364.0,No_Detectado,0.0
1366.0,No_Detectado,0.0
1368.0,No_Detectado,0.0
1370.0,No_Detectado,0.0
1372.0,No_Detectado,0.0
1374.0,No_Detectado,0.0
1376.0,No_Detectado,0.0
1378.0,No_Detectado,0.0
1380.0,No_Detectado,0.0
1382.0,No_Detectado,0.0
1384.0,No_Detectado,0.0
1386.0,No_Detectado,0.0
1388.0,No_Detectado,0.0
1390.0,No_Detectado,0.0
1392.0,No_Detectado,0.0
1394.0,No_Detectado,0.0
1396.0,No_Detectado,0.0
1398.0,Fear,0.2600221633911133
1400.0,Fear,0.2600221633911133
1402.0,Fear,0.2600221633911133
1404.0,Fear,0.573895275592804
1406.0,Fear,0.5784083008766174
1408.0,Fear,0.5853140354156494
1410.0,Sad,0.3175213038921356
1412.0,No_Detectado,0.0
1414.0,No_Detectado,0.0
1416.0,No_Detectado,0.0
1418.0,No_Detectado,0.0
1420.0,No_Detectado,0.0
1422.0,No_Detectado,0.0
1424.0,No_Detectado,0.0
1426.0,No_Detectado,0.0
1428.0,No_Detectado,0.0
1430.0,No_Detectado,0.0
1432.0,No_Detectado,0.0
1434.0,No_Detectado,0.0
1436.0,No_Detectado,0.0
1438.0,No_Detectado,0.0
1440.0,No_Detectado,0.0
1442.0,No_Detectado,0.0
1444.0,No_Detectado,0.0
1446.0,No_Detectado,0.0
1448.0,No_Detectado,0.0
1450.0,Neutral,0.3010315001010895
1452.0,No_Detectado,0.0
1454.0,No_Detectado,0.0
1456.0,No_Detectado,0.0
1458.0,No_Detectado,0.0
1460.0,No_Detectado,0.0
1462.0,No_Detectado,0.0
1464.0,No_Detectado,0.0
1466.0,No_Detectado,0.0
1468.0,No_Detectado,0.0
1470.0,Happy,0.31600600481033325
1472.0,No_Detectado,0.0
1474.0,No_Detectado,0.0
1476.0,No_Detectado,0.0
1478.0,No_Detectado,0.0
1480.0,No_Detectado,0.0
